text,sentiment
"I hate having to put my toddler in a disposable, but her rash needs ointment. I hate her having a rash even worse.",negative
about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.,neutral
At shakas againn. No 2 dollar salads here,neutral
  he didn`t come to school 2day,neutral
 very talented Sam,positive
watching little bear,neutral
 diggin` your moustachio! Looking good daddio!,positive
kicking back at home,neutral
he keeps makingfun of my typos!,neutral
The power is out! I can`t seeeeeeee!!  I love storms!,positive
 wud like to. But I actually have a free weekend this time and family is visiting. so I`m staying put. next time,neutral
" I have heard that about a lot of programs like that, we go to a large chain of learning centers, sorry for you!",negative
 Bummer yo.  I`m starting up finals too soon...so I guess I`ll see you around the second week of June then.,negative
eyes wide shut is one of the weirder movies ive seen. any1 wanna sell me their.45?  just so i can sleep in my apt by myself,neutral
" i`m a huge fan of Take That since i was a baby.. Yeah, 6 months really feels like 5 months.",positive
happy mothers day..,positive
" I know, twitter is depressing me tonight",negative
" Hmmm, should have looked at it a little more methinks",neutral
What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral
"Meeting went well last night.They shot promo to air this weekend on MTV. i tried to hide but I was too close, I think they caught me.",neutral
"Has got the slow cooker going, now just to get ready for work",neutral
 It was on March 22nd in UK..today all quiet here regarding mothers day  Very sweet of u to wish though..thanks!,positive
got a lot of shopping done today...really excited bout my new travel journal! Going to go to sleep watching a movie with my cousins,positive
I dedicated today to Mothers Day videos because without Moms (and Dads) we wouldn`t be here tweeting.,positive
_y_Tony and didn`t bring me any????  You suck,negative
I love my memories. It`s almost like re-reading my favourite book all over again,positive
i wanna vote for Miley Cyrus for the mtv movie awards..but i don`t know where i could  somebody could send me a link? thaank you <3,positive
 LMAO!I was JUST thinking how I **** hate @ least 3 people that I`m following...but I haven`t unfollowed em` yet. I`m a loon.,negative
Kinda may have chickened out...,negative
 awesome run report!   Did you see the bald eagle on the lighthouse?  That was their hangout when I last ran Discovery Park.,positive
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral
currently watching American Idol,neutral
just getting off of work for the day! Hope everyone has a wonderful mother`s day tomorrow! Hope you enjoy ur cheesecakes too!,positive
just went to the dentist my mouth hurts and I can`t eat until 8,negative
Meeting up with Karen and the boys for some drinks at The Dock!!!  All I wanna do is drink though..    **** it like Andrea said! Haha,negative
 sorry to disappoint.,negative
This class is really long and I`m really getting hungry,negative
 guys why did paranoid drop out of the countdown?? thats so not fair  iv voted heaps for it!!!!!,negative
 Hi!! How are you? You`re an amazning actress  Greets from Slovenia,positive
" strangely enough, yes.  but then it works for me, may not for everyone.",neutral
 Loads of Beard papas have disappeared in the UK too,negative
  I was watching Parental Control,neutral
 i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now. wat do i do?? xoxo,negative
  Whaaaaaaaaaat?!  Thas HOT B!    Super nice!,positive
 Too bad we`re in Sweden where Up isn`t up on the theaters  here until October,negative
" have to avoid the burning desire to say I already have one  no, no room for piglets, just enough room for chucks",neutral
can`t sleep throat dry as hell.. ugh ! still gon` wake up fabulous !,neutral
On duty in the students union with only 3 punters. There are more of us here than members of the public,neutral
i started and fisnihsed gossip girl yesert=day,neutral
" I`ve wondered about rake to.  The client has made it clear .NET only, don`t force devs to learn a new lang  #agile #ccnet",negative
Oh no! I just read they are going to do a remake of Girls Just Wanna Have Fun   Stop it hollywood-just stop!,negative
massive headache  going to see terminator tonight!,negative
you wanna know what`s worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon,negative
i wish i was in Jonathon Ross` audience right now,neutral
@_writersblock_  I`m having a bev by myself too. Sometimes you just have those kind of days and you need to relax,positive
"_home Yes - that would be perfect.  That was supposed to happen, last night, still dry.  Usually happens as I a heading to appt.",positive
" omg what a shame about Hollie,just watched that clip u posted",negative
 it wont let me,neutral
is seventeen today  and is trekking from chorleywood to see    and  in cambridge  <3,neutral
 I don`t want to  !!!! I am going to cry all the way home!!!,negative
"how I wish my parents put me into a Chinese school when I was younger. Then, it`ll be so much easier for me to get a job...",negative
 Sorry to hear ur flight got cancelled  that blows!!!,negative
Having to write a real looking paper letter. Not done one of those for a very long time. Sad really.,negative
 I`m sure you left the audience awestruck Katherine. Looking forward to reading some wonderful reports.,positive
